"variable","relative_importance","scaled_importance","percentage"
"imp_reemb_var13_ult1",17.8685035705566,0.00163795203902669,0.000243725350867359
"num_meses_var17_ult3",17.7750034332275,0.00162938116234511,0.000242450014424847
"num_var31",17.0822200775146,0.00156587579349243,0.000233000489691035
"saldo_medio_var12_hace3",17.0168991088867,0.00155988801654553,0.00023210951547291
"num_meses_var44_ult3",16.4303035736084,0.00150611656616643,0.000224108386442244
"delta_num_aport_var13_1y3",16.349437713623,0.00149870383573113,0.000223005380808879
"num_var17",15.9846448898315,0.00146526437354046,0.000218029627880191
"ind_var20_0",15.9739942550659,0.00146428806184975,0.000217884353840596
"num_var20_0",15.0630121231079,0.00138078106672476,0.00020545861047218
"num_var13_largo",14.8590412139893,0.00136208366628639,0.000202676459118801
"num_var17_0",14.6490268707275,0.00134283228239674,0.000199811875674725
"num_op_var40_hace2",14.3741369247437,0.00131763394691474,0.00019606239277761
"ind_var13_largo",14.1860990524292,0.00130039708009175,0.000193497567120821
"ind_var31_0",14.1769723892212,0.00129956046629519,0.000193373079964757
"num_var13_largo_0",13.2029285430908,0.00121027279329164,0.000180087178477768
"delta_imp_aport_var13_1y3",13.1845321655273,0.0012085864526296,0.000179836252956297
"ind_var32_0",12.1199083328247,0.0011109955843912,0.000165314845713513
"ind_var32",12.0193672180176,0.00110177928245779,0.000163943470747154
"num_aport_var13_ult1",11.574556350708,0.00106100480662024,0.000157876276352471
"ind_var13_largo_0",11.5518207550049,0.00105892070286788,0.000157566164147605
"saldo_var44",9.41114330291748,0.000862691232185025,0.000128367448035555
"ind_var31",9.04458808898926,0.000829090216985357,0.000123367656207764
"saldo_var13_largo",8.84247303009033,0.000810562936761008,0.000120610818543591
"saldo_var14",8.07589244842529,0.000740292797918183,0.000110154703934068
"delta_num_reemb_var13_1y3",7.51918172836304,0.000689260798765409,0.000102561202047185
"imp_compra_var44_ult1",7.3362021446228,0.000672487610059141,0.000100065371152754
"saldo_medio_var17_ult1",7.32419919967651,0.000671387336156995,9.99016516808395e-05
"saldo_medio_var44_ult3",7.24091482162476,0.000663752907436633,9.87656576015209e-05
"saldo_medio_var17_ult3",7.19862461090088,0.000659876290874282,9.81888215835392e-05
"ind_var17",7.04791641235352,0.000646061323094023,9.61331705087582e-05
"delta_imp_compra_var44_1y3",7.04549980163574,0.000645839799649875,9.61002080789289e-05
"imp_aport_var17_ult1",6.36255836486816,0.000583236609938314,8.67849265478941e-05
"ind_var17_0",6.20639514923096,0.000568921597130223,8.46548693568448e-05
"num_var44",6.17861843109131,0.000566375388829419,8.42759965347421e-05
"delta_imp_reemb_var13_1y3",6.06974172592163,0.000556394988370533,8.27909245999838e-05
"num_reemb_var13_ult1",5.95852327346802,0.000546199926973564,8.12739113682856e-05
"num_compra_var44_ult1",5.95067310333252,0.000545480325461922,8.11668355035895e-05
"saldo_var31",5.89055871963501,0.00053996982051318,8.03468788015077e-05
"num_meses_var13_largo_ult3",5.62003326416016,0.000515171564763672,7.66569273014389e-05
"ind_var44",5.05279159545898,0.000463174225187852,6.89197838867778e-05
"num_var33_0",4.48569679260254,0.000411190348362782,6.11846437137087e-05
"saldo_medio_var44_ult1",4.152268409729,0.000380625970241214,5.66366999374377e-05
"delta_num_compra_var44_1y3",3.9406054019928,0.000361223458232356,5.37496288056865e-05
"ind_var44_0",3.74354434013367,0.000343159462732655,5.10617273675912e-05
"ind_var33_0",3.55369973182678,0.000325756977849317,4.84722579368038e-05
"num_var44_0",3.06573891639709,0.000281027075905252,4.18165007559903e-05
"saldo_var17",3.06177115440369,0.000280663363083872,4.17623807128551e-05
"delta_num_aport_var17_1y3",2.9952380657196,0.000274564474733065,4.08548732475664e-05
"saldo_medio_var13_largo_ult3",2.50250124931335,0.000229396771128269,3.41339716908314e-05
"delta_imp_venta_var44_1y3",2.43544912338257,0.000223250304192427,3.32193845876444e-05
"delta_num_venta_var44_1y3",2.41136050224304,0.000221042172663279,3.28908171944119e-05
"ind_var20",2.35602784156799,0.000215969993898024,3.21360829166254e-05
"num_var20",2.02799844741821,0.000185900524852297,2.76617810329634e-05
"saldo_medio_var13_largo_ult1",1.69307827949524,0.000155199399277095,2.30934893952637e-05
"saldo_medio_var33_ult1",1.5708726644516,0.000143997177694809,2.14266119039918e-05
"saldo_medio_var13_largo_hace2",1.4465993642807,0.000132605417628963,1.9731531307679e-05
"imp_compra_var44_hace3",1.25037133693695,0.000114617783900558,1.70549924119893e-05
"ind_var33",1.23637437820435,0.00011333472474534,1.68640747078452e-05
"saldo_medio_var33_hace2",1.21410322189331,0.000111293194756715,1.65602974293118e-05
"num_meses_var33_ult3",1.18055522441864,0.000108217950618227,1.61027046922857e-05
"num_venta_var44_ult1",0.976287603378296,8.94933514894298e-05,1.33165062055286e-05
"saldo_medio_var44_hace2",0.93831592798233,8.60126020861856e-05,1.27985747585913e-05
"saldo_var33",0.846038997173309,7.75538530713652e-05,1.15399227819674e-05
"delta_imp_aport_var17_1y3",0.809443593025208,7.41992623186086e-05,1.10407635949146e-05
"delta_num_reemb_var17_1y3",0.69221693277359,6.34534465635714e-05,9.44179875781922e-06
"num_var18",0.666666686534882,6.11113322528193e-05,9.09329488312779e-06
"saldo_medio_var33_ult3",0.655191838741302,6.00594674300714e-05,8.93677862570331e-06
